,appid,is_top_seller
0,48700,1
1,646570,1
2,588650,1
3,526870,1
4,433340,1
5,3590,1
6,883710,1
7,1092790,1
8,1366540,1
9,504230,1
10,205100,1
11,238460,1
12,1113000,1
13,636480,1
14,239030,1
15,213670,1
16,1332010,1
17,1454400,1
18,447530,1
19,250320,1
20,420,1
21,1290000,1
22,288160,1
23,597170,1
24,450540,1
25,425580,1
26,531510,1
27,1392820,1
28,557600,1
29,617670,1
30,341800,1
31,488860,1
32,246420,1
33,732690,1
34,1082430,1
35,367580,1
36,1318690,1
37,667970,1
38,601220,1
39,1406990,1
40,909080,1
41,435400,1
42,1604000,1
43,1239080,1
44,558990,1
45,434170,1
46,1172450,1
47,348550,1
48,1218900,1
49,483980,1
50,1764390,1
51,1079260,1
52,370360,1
53,1337010,1
54,648100,1
55,1104380,1
56,397740,1
57,1058830,1
58,990630,1
59,251290,1
60,995460,1
61,1123450,1
62,1522870,1
63,604330,1
64,1510030,1
65,1421790,1
66,615120,1
67,1111370,1
68,402620,1
69,1999360,1
70,410890,1
71,1562700,1
72,1080750,1
73,4000,1
74,292030,1
75,322330,1
76,264710,1
77,391540,1
78,632360,1
79,203160,1
80,22380,1
81,10,1
82,427520,1
83,284160,1
84,8930,1
85,268910,1
86,240,1
87,270880,1
88,1057090,1
89,219740,1
90,1426210,1
91,457140,1
92,204360,1
93,238320,1
94,70,1
95,311690,1
96,620980,1
97,1196590,1
98,683320,1
99,206440,1
100,1167630,1
101,1593500,1
102,207610,1
103,500,1
104,629730,1
105,35140,1
106,386940,1
107,413410,1
108,557340,1
109,261030,1
110,413420,1
111,247080,1
112,32440,1
113,653530,1
114,1388880,1
115,1127500,1
116,1235140,1
117,512900,1
118,1284190,1
119,335670,1
120,1127400,1
121,287980,1
122,456750,1
123,1948280,1
124,813630,1
125,1182620,1
126,1239690,1
127,1211020,1
128,858210,1
129,610370,1
130,314650,1
131,458710,1
132,508900,1
133,874260,1
134,1062160,1
135,532110,1
136,1003590,1
137,915310,1
138,3320,1
139,1506980,1
140,1215390,1
141,1634150,1
142,801480,1
143,1217390,1
144,1488200,1
145,1359980,1
146,941460,1
147,1310990,1
148,318130,1
149,885810,1
150,1156990,1
151,1817940,1
152,955740,1
153,1718870,1
154,566050,1
155,1481080,1
156,1173010,1
157,865540,1
158,552080,1
159,1786790,1
160,353540,1
161,284850,1
162,1499120,1
163,279800,1
164,1335560,1
165,639490,1
166,242760,1
167,892970,1
168,239140,1
169,435150,1
170,220200,1
171,362890,1
172,212680,1
173,601150,1
174,55230,1
175,635260,1
176,881100,1
177,261570,1
178,113200,1
179,638970,1
180,346010,1
181,1250,1
182,753640,1
183,200260,1
184,501300,1
185,383980,1
186,333600,1
187,972660,1
188,4700,1
189,41700,1
190,380,1
191,860510,1
192,1369630,1
193,230290,1
194,406150,1
195,35720,1
196,1190000,1
197,1046030,1
198,1451940,1
199,50,1
200,601840,1
201,35700,1
202,837470,1
203,1557740,1
204,9450,1
205,40700,1
206,1584090,1
207,927380,1
208,266010,1
209,375480,1
210,430960,1
211,900270,1
212,40950,1
213,914800,1
214,435120,1
215,1504020,1
216,1195290,1
217,1574580,1
218,494150,1
219,1046480,1
220,744190,1
221,488310,1
222,1062520,1
223,858260,1
224,246840,1
225,359510,1
226,1345820,1
227,1546860,1
228,1299120,1
229,587430,1
230,355980,1
231,577690,1
232,440880,1
233,345820,1
234,1385730,1
235,353330,1
236,1437830,1
237,1477790,1
238,1689910,1
239,1052990,1
240,846030,1
241,1086410,1
242,1918520,1
243,1817000,1
244,1420810,1
245,1722520,1
246,1969080,1
247,889910,1
248,937570,1
249,1597730,1
250,1599880,1
251,668350,1
252,1730360,1
253,47880,1
254,701380,1
255,1871310,1
256,1100160,1
257,1399240,1
258,1281790,1
259,1921780,1
260,1725640,1
261,1790490,1
262,1641500,1
263,1834920,1
264,1056490,1
265,1213230,1
266,1927720,1
267,1348700,1
268,577480,1
269,1100150,1
270,1642220,1
271,1687550,1
272,1906020,1
273,1829420,1
274,968350,1
275,1379560,1
276,1303950,1
277,526490,1
278,1443430,1
279,1034940,1
280,1150460,1
281,1721170,1
282,1819230,1
283,1618290,1
284,1921760,1
285,1985260,1
286,1035850,1
287,1069190,1
288,1769170,1
289,866140,1
290,898580,1
291,1473050,1
292,640380,1
293,589940,1
294,1850550,1
295,31810,1
296,1742610,1
297,2001570,1
298,1706210,1
299,1522950,1
300,1261960,1
301,1567440,1
302,679770,1
303,814380,1
304,477160,1
305,489830,1
306,1237970,1
307,813780,1
308,1217060,1
309,632470,1
310,787860,1
311,233860,1
312,418370,1
313,246620,1
314,1832640,1
315,621060,1
316,200510,1
317,843380,1
318,424840,1
319,555160,1
320,50130,1
321,4500,1
322,7670,1
323,207140,1
324,638230,1
325,568220,1
326,1088850,1
327,47780,1
328,590380,1
329,282800,1
330,1062090,1
331,257850,1
332,866800,1
333,368340,1
334,609320,1
335,894020,1
336,895870,1
337,528230,1
338,228200,1
339,1012880,1
340,343780,1
341,351920,1
342,470310,1
343,217200,1
344,285310,1
345,960690,1
346,1674170,1
347,1295510,1
348,32510,1
349,310080,1
350,453090,1
351,2620,1
352,1173770,1
353,477740,1
354,692890,1
355,466300,1
356,222440,1
357,525510,1
358,375820,1
359,846470,1
360,939600,1
361,801630,1
362,1265820,1
363,588690,1
364,758990,1
365,1385380,1
366,1078350,1
367,1210030,1
368,1621310,1
369,1173790,1
370,1296840,1
371,885000,1
372,383270,1
373,301320,1
374,1046820,1
375,729000,1
376,1328350,1
377,1364100,1
378,1257410,1
379,397430,1
380,1802720,1
381,1354910,1
382,1437820,1
383,1286280,1
384,618950,1
385,1357870,1
386,1424710,1
387,1893620,1
388,551620,1
389,1476350,1
390,1337530,1
391,898890,1
392,1890520,1
393,1990260,1
394,1986230,1
395,1931240,1
396,1923670,1
397,1279380,1
398,1785000,1
399,440,1
400,374320,1
401,49520,1
402,322170,1
403,648800,1
404,255710,1
405,211820,1
406,391220,1
407,674940,1
408,387990,1
409,774171,1
410,219990,1
411,613100,1
412,1158310,1
413,516750,1
414,977950,1
415,752590,1
416,274170,1
417,286160,1
418,1147560,1
419,200710,1
420,1282730,1
421,326460,1
422,50300,1
423,384190,1
424,208580,1
425,673950,1
426,332800,1
427,1703340,1
428,418530,1
429,1256670,1
430,365450,1
431,246900,1
432,1210320,1
433,1206560,1
434,65800,1
435,1966900,1
436,743450,1
437,388090,1
438,834530,1
439,224760,1
440,1016920,1
441,398710,1
442,1227890,1
